KAB/KOTA;Pneumonia = 83.865;ISPA = 1.955.764
KEBUMEN;4.643;24.955
PATI;4.586;53.538
BREBES;4.423;76.059
TEGAL;4.282;75.852
DEMAK;3.827;60.392
BANJARNEGARA;3.173;22.315
KARANGANYAR;2.871;41.260
KOTA SEMARANG;2.715;100.903
KLATEN;2.656;33.620
PURBALINGGA;2.627;17.098
KUDUS;1.931;54.149
WONOSOBO;1.700;25.388
CILACAP;1.514;4.603
JEPARA;1.480;56.696
GROBOGAN;1.411;50.614
SUKOHARJO;1.306;40.987
SEMARANG;1.173;64.870
TEMANGGUNG;1.164;65.615
BANYUMAS;824;12.209
BOYOLALI;823;31.250
PEMALANG;752;73.758
MAGELANG;617;29.057
KENDAL;580;66.564
KOTA TEGAL;547;165.736
BLORA;518;53.240
REMBANG;465;53.250
KOTA SURAKARTA;452;78.881
PEKALONGAN;395;73.180
WONOGIRI;331;40.997
KOTA PEKALONGAN;312;102.300
KOTA MAGELANG;283;76.078
SRAGEN;282;44.403
KOTA SALATIGA;208;93.165
PURWOREJO;195;25.344
BATANG;155;67.438
